module			 depends on?
abinit/			no
abinit/9.10.1			no
adams2021			no
adf/			no
adf/2021.102			no
adf/2021.105			no
adf/2022.103			no
admixture/			no
admixture/1.3.0			no
advisor/			no
advisor/2023.2.0			no
advisor/latest			no
alphafold/			no
alphafold/2.2.0			no
anaconda3/			no
anaconda3/2021.11			no
anaconda3/2022.05			no
ansys/			no
ansys/v212			no
ansys/v222			no
aocc/			no
aocc/4.1.0			no
aocl/			no
aocl/4.1.0			no
apptainer/			no
apptainer/1.3.3			no
apptainer/1.3.6			no
autoconf-archive/			no
autoconf-archive/2019.01.06-gcc-4adz			no
autoconf/			no
autoconf/			no
autoconf/2.69-gcc-buuj			no
autoconf/2.69-intel-rtqg			no
autoconf/2.72c			no
automake/			no
automake/1.15.1-gcc-lfi6			no
automake/1.16.2-gcc-6sv4			no
automake/1.16.2-intel-dbtg			no
BayeScan			no
bazel/			no
bazel/3.7.2-gcc-a3fe			no
bcftools/			no
bcftools/1.15			no
bcftools/1.18			no
bcftools/1.20			no
bedtools/			no
bedtools/2.30.0			no
blas/gcc/64/			no
blas/gcc/64/3.10.0			no
blast-plus/			no
blast-plus/2.11.0-gcc-b7ia			no
blast/			no
blast/2.13.0			no
blast/2.16.0			no
bonnie++/			no
bonnie++/2.00a			no
boost/			no
boost/			no
boost/1.70.0-gcc-n3e3			no
boost/1.74.0-gcc-y5l6			no
boost/1.74.0-intel-6bnb			no
boost/1.77.0			no
bowtie2/			no
bowtie2/2.4.5			no
bwa/			no
bwa/			no
bwa/0.7.17-intel-fj5m			no
bwa/0.7.18			no
bzip2/			no
bzip2/			no
bzip2/1.0.8			no
bzip2/1.0.8-gcc-nznx			no
bzip2/1.0.8-intel-zgjg			no
cadence/			no
cadence/2023.1			no
cadence/debug			no
canu/			no
canu/2.0-gcc-62v6			no
ccl/			no
ccl/2021.10.0			no
ccl/2021.2.0			no
ccl/2021.5.1			no
ccl/2021.8.0			no
ccl/latest			no
charmpp/			no
charmpp/6.10.2-gcc-yhg3			no
clck/			no
clck/2021.2.0			no
clck/2021.5.0			no
clck/2021.7.2			no
clck/latest			no
clustalw/			no
clustalw/2.1-gcc-rg27			no
cluster-tools/			no
cluster-tools/9.2			no
cm-bios-tools			no
cm-pmix3/			no
cm-pmix3/3.1.7			no
cm-pmix4/			no
cm-pmix4/4.1.3			no
cmake/			no
cmake/			no
cmake/3.18.4-gcc-vo7y			no
cmake/3.18.4-intel-n43d			no
cmake/3.30.3			no
cmd			no
cmjob			no
colony/			no
colony/2.0.7.0			no
compiler-rt/			no
compiler-rt/2021.2.0			no
compiler-rt/2022.0.2			no
compiler-rt/2023.0.0			no
compiler-rt32/			no
compiler-rt32/2021.2.0			no
compiler-rt32/2022.0.2			no
compiler-rt32/2023.0.0			no
compiler/			no
compiler/2021.2.0			no
compiler/2022.0.2			no
compiler/2023.0.0			no
compiler32/			no
compiler32/2021.2.0			no
compiler32/2022.0.2			no
compiler32/2023.0.0			no
cp2k/			no
cp2k/2023.02			no
cpio/			no
cpio/2.13-gcc-5koe			no
cuda-dcgm/			no
cuda-dcgm/3.1.3.1			no
cuda/			no
cuda/			no
cuda/10.1.243-gcc-gwzo			no
cuda/10.2.89-gcc-bjtv			no
cuda/11.0.2-gcc-dayq			no
cuda/11.1.0-gcc-ovkh			no
cuda/11.2			no
cuda/11.4			no
cuda/12.3			no
cuda11.8/blas/			no
cuda11.8/blas/11.8.0			no
cuda11.8/fft/			no
cuda11.8/fft/11.8.0			no
cuda11.8/toolkit/			no
cuda11.8/toolkit/11.8.0			no
cudnn/			no
cudnn/			no
cudnn/8.0.4.30-11.0-linux-x64-gcc-oy5z			no
cudnn/8.4			no
cudnn/8.9			no
cufflinks/			no
cufflinks/2.2.1-gcc-k4kj			no
curl/			no
curl/			no
curl/7.72.0-gcc-rdbq			no
curl/8.9.1			no
dal/			no
dal/2021.2.0			no
dal/2021.5.3			no
dal/2023.0.0			no
dal/2023.2.0			no
dal/latest			no
debugger/			no
debugger/10.1.1			no
debugger/2021.5.0			no
debugger/2023.0.0			no
debugger/2023.2.0			no
debugger/latest			no
default-environment			no
DefaultModules			no
delly/			no
delly/1.1.6			no
delly/1.2.6			no
dev-utilities/			no
dev-utilities/2021.10.0			no
dev-utilities/2021.2.0			no
dev-utilities/2021.5.2			no
dev-utilities/2021.8.0			no
dev-utilities/latest			no
diamond/			no
